Room Code,Seating Capacity,Seat Type,Department,rtype
ELB 204,20,Table & Chair,U-Wide,room
ELB 205,50,Table & Chair,U-Wide,room
ELB 206,65,Table & Chair,U-Wide,room
ELB 207,50,Table & Chair,U-Wide,room
ELB 302,65,Table & Chair,U-Wide,room
ELB 303,65,Table & Chair,U-Wide,room
ELB 304,20,Table & Chair,U-Wide,room
ELB 305,28,Table & Chair,U-Wide,room
ELB 306,35,Table & Chair,U-Wide,room
ELB 307,65,Table & Chair,U-Wide,room
ELB 308,60,Table & Chair,U-Wide,room
ELB 401,70,Table & Chair,U-Wide,room
ELB 403,65,Table & Chair,U-Wide,room
ELB 405,80,Table & Chair,U-Wide,room
ELB LT1,244,Lecture Theatre,U-Wide,room
ELB LT2,154,Lecture Theatre,U-Wide,room
ELB LT3,154,Lecture Theatre,U-Wide,room
ELB LT4,154,Lecture Theatre,U-Wide,room
HTB B6,220,Lecture Theatre,,room
HYS 501,40,Armchair,,room
HYS G01,55,Table & Chair,,room
HYS G05,70,Table & Chair,,room
LKC LT1,229,Lecture Theatre,U-Wide,room
SB 239,45,Armchair,U-Wide,room
SB UG06,72,Table & Chair,U-Wide,room
FYB 105,20,Table & Chair,,room
FYB 106,30,Table & Chair,,room
FYB 107A,20,Armchair,,room
FYB 107B,20,Armchair,,room
FYB 401,40,Armchair,,room
FYB 402,20,Armchair,,room
FYB 405,40,Armchair/Table & Chair,,room
FYB 603,30,Armchair/Table & Chair,,room
FYB LT4,122,Lecture Theatre,,room
FYB UG01,60,Table & Chair,,room
FYB UG02,55,Table & Chair,,room
WMY 302,30,Armchair/Table & Chair,U-Wide,room
WMY 303,64,Table & Chair,U-Wide,room
WMY 304,70,Armchair/Table & Chair,U-Wide,room
WMY 305,70,Table & Chair,U-Wide,room
WMY 306,70,Armchair/Table & Chair,U-Wide,room
WMY 401,30,Armchair/Table & Chair,U-Wide,room
WMY 402,50,Table & Chair,U-Wide,room
WMY 403,70,Table & Chair,U-Wide,room
WMY 404,40,Table & Chair,U-Wide,room
WMY 405,40,Table & Chair,U-Wide,room
WMY 406,70,Table & Chair,U-Wide,room
WMY 407,70,Table & Chair,U-Wide,room
WMY 408,70,Armchair/Table & Chair,U-Wide,room
WMY 501,30,Armchair/Table & Chair,U-Wide,room
WMY 502,50,Table & Chair,U-Wide,room
WMY 503,30,Armchair/Table & Chair,U-Wide,room
WMY 504,40,Table & Chair,U-Wide,room
WMY 505,90,Table & Chair,U-Wide,room
WMY 506,70,Table & Chair,U-Wide,room
WMY 507,90,Table & Chair,U-Wide,room
WMY 508,70,Table & Chair,U-Wide,room
YIA 201,72,Armchair/Table & Chair,U-Wide,room
YIA 401,30,Armchair/Table & Chair,U-Wide,room
YIA 402,52,Table & Chair,U-Wide,room
YIA 403,65,Table & Chair,U-Wide,room
YIA 404,30,Armchair/Table & Chair,U-Wide,room
YIA 405,80,Armchair/Table & Chair,U-Wide,room
YIA 406,30,Armchair/Table & Chair,U-Wide,room
YIA 407,30,Armchair/Table & Chair,U-Wide,room
YIA 408,30,Armchair/Table & Chair,U-Wide,room
YIA 409,30,Armchair/Table & Chair,U-Wide,room
YIA 410,30,Armchair/Table & Chair,U-Wide,room
YIA 411,30,Armchair/Table & Chair,U-Wide,room
YIA 501,30,Armchair/Table & Chair,U-Wide,room
YIA 502,52,Table & Chair,U-Wide,room
YIA 503,65,Table & Chair,U-Wide,room
YIA 504,30,Armchair/Table & Chair,U-Wide,room
YIA 505,80,Armchair/Table & Chair,U-Wide,room
YIA 506,30,Armchair/Table & Chair,U-Wide,room
YIA 507,30,Armchair/Table & Chair,U-Wide,room
YIA 508,30,Armchair/Table & Chair,U-Wide,room
YIA 509,30,Armchair/Table & Chair,U-Wide,room
YIA 510,30,Armchair/Table & Chair,U-Wide,room
YIA 511,30,Armchair/Table & Chair,U-Wide,room
YIA 605,30,Table & Chair,U-Wide,room
YIA 607,30,Table & Chair,U-Wide,room
YIA 608,30,Table & Chair,U-Wide,room
YIA LT3,249,Lecture Theatre,U-Wide,room
YIA LT4,160,Lecture Theatre,U-Wide,room
YIA LT5,160,Lecture Theatre,U-Wide,room
YIA LT6,160,Lecture Theatre,U-Wide,room
YIA LT7,153,Lecture Theatre,U-Wide,room
YIA LT8,100,Lecture Theatre,U-Wide,room
YIA LT9,95,Lecture Theatre,U-Wide,room
